gene_id	base_feature_id	chr	start	end	name	score	strand	feature_type_top	feature_types	transcript_type_top	gene_name	padj	pval	stat	log2FoldChange	X10R_IN_1_norm	X10R_IN_2_norm	X10R_IP_1_norm	X10R_IP_2_norm	DMSO_IN_1_norm	DMSO_IN_2_norm	DMSO_IP_1_norm	DMSO_IP_2_norm
ENSG00000197182.17	336119	chr22	46093836	46093936	8733578	0	+	INTRON	INTRON	lncRNA	MIRLET7BHG	0.000923468754884471	4.76014822105398e-06	4.57509021508298	2.19962077324651	105	409	99	285	217	780	53	104
ENSG00000197182.17	336119	chr22	46090746	46090846	8733547	0	+	INTRON	INTRON	lncRNA	MIRLET7BHG	0.000923468754884471	2.62038043668845e-06	4.69853207306376	1.97212657540841	105	409	57	209	217	780	35	96
ENSG00000197182.17	336119	chr22	46093138	46093238	8733571	0	+	INTRON	INTRON	lncRNA	MIRLET7BHG	0.000923468754884471	2.11626007004276e-06	4.74199293398547	2.14622511449988	105	409	38	172	217	780	24	66
ENSG00000197182.17	336119	chr22	46091344	46091444	8733553	0	+	INTRON	INTRON	lncRNA	MIRLET7BHG	0.000923468754884471	3.13680277009765e-06	4.66165265112114	2.23803551965948	105	409	55	293	217	780	37	96
ENSG00000197182.17	336130	chr22	46112937	46113036	8733773	0	+	EXON_LNCRNA	EXON_LNCRNA	lncRNA	MIRLET7BHG	0.000923468754884471	3.96009715714011e-06	4.61346566054202	3.02967464485788	58	134	36	85	70	236	11	13
ENSG00000197182.17	336130	chr22	46110165	46110264	8733745	0	+	EXON_LNCRNA	EXON_LNCRNA:SS5_PROX:INTRON	lncRNA	MIRLET7BHG	0.000923468754884471	4.68693927144981e-06	4.57833398611445	2.71004286325711	58	134	50	100	70	236	15	22
ENSG00000197182.17	336130	chr22	46111848	46111947	8733762	0	+	EXON_LNCRNA	EXON_LNCRNA:INTRON	lncRNA	MIRLET7BHG	0.00113925567130093	7.82993588522975e-06	4.46978200840462	2.39652942881467	58	134	59	136	70	236	22	35
ENSG00000197182.17	336119	chr22	46087856	46087955	8733518	0	+	INTRON	INTRON	lncRNA	MIRLET7BHG	0.00113925567130093	7.57963994779261e-06	4.47672607402266	2.20966654038176	105	409	81	345	217	780	53	109
ENSG00000197182.17	336119	chr22	46086959	46087058	8733509	0	+	INTRON	INTRON	lncRNA	MIRLET7BHG	0.00134946523543305	1.04340095523174e-05	4.40797809350048	2.19523247011113	105	409	75	192	217	780	38	75
ENSG00000197182.17	336119	chr22	46093936	46094036	8733579	0	+	INTRON	INTRON	lncRNA	MIRLET7BHG	0.00193691442351688	1.66401582776364e-05	4.30577572298165	2.10184179914054	105	409	67	239	217	780	44	87
ENSG00000197182.17	336119	chr22	46086859	46086959	8733508	0	+	INTRON	INTRON	lncRNA	MIRLET7BHG	0.0023347475810084	2.40695626908082e-05	4.22335183439886	2.20835348473401	105	409	68	187	217	780	38	66
