chr	start	end	name	score	strand	feature_type_top	feature_types	transcript_type_top	gene_name	gene_id	base_feature_id	X10R_IN_1	X10R_IN_2	X10R_IP_1	X10R_IP_2	DMSO_IN_1	DMSO_IN_2	DMSO_IP_1	DMSO_IP_2	padj	pval	stat	log2FoldChange
chr22	46093836	46093936	8733578	0	+	INTRON	INTRON	lncRNA	MIRLET7BHG	ENSG00000197182.17	336119	51	639	61	459	130	1810	29	188	0.000923468754884471	4.76014822105398e-06	4.57509021508298	2.19962077324651
chr22	46090746	46090846	8733547	0	+	INTRON	INTRON	lncRNA	MIRLET7BHG	ENSG00000197182.17	336119	51	639	35	337	130	1810	19	173	0.000923468754884471	2.62038043668845e-06	4.69853207306376	1.97212657540841
chr22	46093138	46093238	8733571	0	+	INTRON	INTRON	lncRNA	MIRLET7BHG	ENSG00000197182.17	336119	51	639	23	276	130	1810	13	119	0.000923468754884471	2.11626007004276e-06	4.74199293398547	2.14622511449988
chr22	46091344	46091444	8733553	0	+	INTRON	INTRON	lncRNA	MIRLET7BHG	ENSG00000197182.17	336119	51	639	34	472	130	1810	20	172	0.000923468754884471	3.13680277009765e-06	4.66165265112114	2.23803551965948
chr22	46112937	46113036	8733773	0	+	EXON_LNCRNA	EXON_LNCRNA	lncRNA	MIRLET7BHG	ENSG00000197182.17	336130	28	209	22	137	42	547	6	23	0.000923468754884471	3.96009715714011e-06	4.61346566054202	3.02967464485788
chr22	46110165	46110264	8733745	0	+	EXON_LNCRNA	EXON_LNCRNA:SS5_PROX:INTRON	lncRNA	MIRLET7BHG	ENSG00000197182.17	336130	28	209	31	160	42	547	8	39	0.000923468754884471	4.68693927144981e-06	4.57833398611445	2.71004286325711
chr22	46111848	46111947	8733762	0	+	EXON_LNCRNA	EXON_LNCRNA:INTRON	lncRNA	MIRLET7BHG	ENSG00000197182.17	336130	28	209	36	218	42	547	12	63	0.00113925567130093	7.82993588522975e-06	4.46978200840462	2.39652942881467
chr22	46087856	46087955	8733518	0	+	INTRON	INTRON	lncRNA	MIRLET7BHG	ENSG00000197182.17	336119	51	639	50	555	130	1810	29	196	0.00113925567130093	7.57963994779261e-06	4.47672607402266	2.20966654038176
chr22	46086959	46087058	8733509	0	+	INTRON	INTRON	lncRNA	MIRLET7BHG	ENSG00000197182.17	336119	51	639	46	309	130	1810	21	134	0.00134946523543305	1.04340095523174e-05	4.40797809350048	2.19523247011113
chr22	46093936	46094036	8733579	0	+	INTRON	INTRON	lncRNA	MIRLET7BHG	ENSG00000197182.17	336119	51	639	41	385	130	1810	24	156	0.00193691442351688	1.66401582776364e-05	4.30577572298165	2.10184179914054
chr22	46086859	46086959	8733508	0	+	INTRON	INTRON	lncRNA	MIRLET7BHG	ENSG00000197182.17	336119	51	639	42	301	130	1810	21	119	0.0023347475810084	2.40695626908082e-05	4.22335183439886	2.20835348473401
chr22	46092341	46092441	8733563	0	+	INTRON	INTRON	lncRNA	MIRLET7BHG	ENSG00000197182.17	336119	51	639	13	78	130	1810	5	30	0.0023347475810084	2.29520340660679e-05	4.23404954766774	2.48363087612633
chr22	46103091	46103191	8733672	0	+	SS3_ADJ	SS3_ADJ:SS3_PROX:INTRON	lncRNA	MIRLET7BHG	ENSG00000197182.17	336123	15	201	38	335	47	578	22	109	0.00263133051198246	2.93877119035842e-05	4.17815982873694	2.36621158002373
chr22	46100138	46100236	8733642	0	+	INTRON	INTRON	lncRNA	MIRLET7BHG	ENSG00000197182.17	336123	15	201	33	269	47	578	19	118	0.0027477680406511	3.30487565026764e-05	4.15137235822211	2.15280189771517
chr22	46112145	46112244	8733765	0	+	EXON_LNCRNA	EXON_LNCRNA:SS3_PROX:INTRON	lncRNA	MIRLET7BHG	ENSG00000197182.17	336130	28	209	63	533	42	547	30	124	0.00279533919030014	3.60224122461358e-05	4.13161453655799	2.26405915444188
chr22	46089650	46089749	8733536	0	+	INTRON	INTRON	lncRNA	MIRLET7BHG	ENSG00000197182.17	336119	51	639	35	390	130	1810	22	122	0.0030037002585154	4.17806641130385e-05	4.09740550114255	2.26215922766804
chr22	46091544	46091643	8733555	0	+	INTRON	INTRON	lncRNA	MIRLET7BHG	ENSG00000197182.17	336119	51	639	22	334	130	1810	15	85	0.0030037002585154	4.38684745659465e-05	4.0861000113108	2.45396501410454
chr22	46087457	46087557	8733514	0	+	INTRON	INTRON	lncRNA	MIRLET7BHG	ENSG00000197182.17	336119	51	639	24	197	130	1810	14	85	0.00302038584000197	4.67069975258036e-05	4.07152176306473	2.09340614719914
chr22	46090447	46090547	8733544	0	+	INTRON	INTRON	lncRNA	MIRLET7BHG	ENSG00000197182.17	336119	51	639	29	246	130	1810	18	145	0.00356319126977744	6.73455394631475e-05	3.98547404293053	1.77219156611733
chr22	40187536	40187636	8716895	0	+	INTRON	INTRON	protein_coding	TNRC6B	ENSG00000100354.23	335295	345	904	18	24	200	499	24	46	0.00356319126977744	6.50391101944373e-05	-3.9937402582926	-1.95137015863026
chr22	46090148	46090248	8733541	0	+	INTRON	INTRON	lncRNA	MIRLET7BHG	ENSG00000197182.17	336119	51	639	47	502	130	1810	31	197	0.00356319126977744	5.98748635292765e-05	4.01330343924049	2.02952368571811
chr22	46094733	46094833	8733587	0	+	INTRON	INTRON	lncRNA	MIRLET7BHG	ENSG00000197182.17	336119	51	639	18	145	130	1810	10	41	0.00356319126977744	6.17354149819613e-05	4.0060774444331	2.49227692945795
chr22	46091843	46091942	8733558	0	+	INTRON	INTRON	lncRNA	MIRLET7BHG	ENSG00000197182.17	336119	51	639	32	431	130	1810	22	123	0.00410276211203747	8.4593033237886e-05	3.93100067852908	2.28501119166885
chr22	46087955	46088055	8733519	0	+	INTRON	INTRON	lncRNA	MIRLET7BHG	ENSG00000197182.17	336119	51	639	44	537	130	1810	30	182	0.00410276211203747	8.43224068734079e-05	3.93177089527216	2.12430020758069
chr22	46089151	46089251	8733531	0	+	INTRON	INTRON	lncRNA	MIRLET7BHG	ENSG00000197182.17	336119	51	639	79	919	130	1810	56	366	0.00784181575634536	0.00016842387792838	3.76220207559002	1.9274916679915
chr22	46112343	46112442	8733767	0	+	EXON_LNCRNA	EXON_LNCRNA:SS3_PROX:INTRON	lncRNA	MIRLET7BHG	ENSG00000197182.17	336130	28	209	20	148	42	547	9	43	0.00856719901996192	0.000191363551992277	3.7301529703001	2.23370087720448
chr22	46092939	46093039	8733569	0	+	INTRON	INTRON	lncRNA	MIRLET7BHG	ENSG00000197182.17	336119	51	639	37	273	130	1810	23	149	0.00860724611269953	0.000214441698684095	3.70136623269938	1.81014749775595
chr22	46112541	46112640	8733769	0	+	EXON_LNCRNA	EXON_LNCRNA:SS3_ADJ:SS3_PROX:INTRON	lncRNA	MIRLET7BHG	ENSG00000197182.17	336130	28	209	33	303	42	547	18	83	0.00860724611269953	0.000212357474261619	3.70384328839973	2.10743880034574
chr22	42570997	42571096	8808003	0	-	INTRON	INTRON	lncRNA	RRP7BP	ENSG00000291035.2	339507	142	479	19	50	124	483	4	7	0.00860724611269953	0.000204654749202666	3.71320034477881	2.1701373584249
chr22	46093736	46093836	8733577	0	+	INTRON	INTRON	lncRNA	MIRLET7BHG	ENSG00000197182.17	336119	51	639	34	179	130	1810	16	81	0.00885857902818288	0.000235924355561571	3.67707428190841	2.14352042936718
chr22	31629162	31629261	8780337	0	-	INTRON	INTRON	protein_coding	PISD	ENSG00000241878.13	338332	218	668	26	36	191	581	2	5	0.00885857902818288	0.000231155648642191	3.6822818471134	2.6146391266254
chr22	46112640	46112739	8733770	0	+	EXON_LNCRNA	EXON_LNCRNA:SS3_ADJ:SS3_PROX:INTRON	lncRNA	MIRLET7BHG	ENSG00000197182.17	336130	28	209	26	183	42	547	12	40	0.00982524833104453	0.000270109919753802	3.64239809526373	2.38890774628151
chr22	46102691	46102791	8733668	0	+	SS3_PROX	SS3_PROX:INTRON	lncRNA	MIRLET7BHG	ENSG00000197182.17	336123	15	201	52	510	47	578	38	165	0.0101897621400172	0.000288885009124199	3.62506837540168	2.14520571083926
chr22	46103253	46103353	8733674	0	+	SS5_ADJ	SS5_ADJ:SS5_PROX:INTRON	lncRNA	MIRLET7BHG	ENSG00000197182.17	336125	3	86	60	579	19	273	35	181	0.0108826588543009	0.000317878351414288	3.6002770034369	2.56139718183968
chr22	46092839	46092939	8733568	0	+	INTRON	INTRON	lncRNA	MIRLET7BHG	ENSG00000197182.17	336119	51	639	28	213	130	1810	18	90	0.0115184313697982	0.000351388526386557	3.57413431650797	2.0007241567502
chr22	46112442	46112541	8733768	0	+	EXON_LNCRNA	EXON_LNCRNA:SS3_PROX:INTRON	lncRNA	MIRLET7BHG	ENSG00000197182.17	336130	28	209	49	300	42	547	23	71	0.0115184313697982	0.000356240145457675	3.57054433744806	2.23030484889204
chr22	46090647	46090746	8733546	0	+	INTRON	INTRON	lncRNA	MIRLET7BHG	ENSG00000197182.17	336119	51	639	23	341	130	1810	20	134	0.0138877073766773	0.000441447743073077	3.51397898052779	1.93371115123242
chr22	46084118	46084217	8733478	0	+	INTRON	INTRON	lncRNA	MIRLET7BHG	ENSG00000197182.17	336113	15	223	27	258	39	405	13	86	0.0141585681097788	0.000482326529190085	3.49038423499508	2.0115602554135
chr22	46073577	46073677	8733372	0	+	INTRON	INTRON	lncRNA	MIRLET7BHG	ENSG00000197182.17	336111	57	781	28	262	127	1742	16	70	0.0141585681097788	0.000462263919071017	3.50172070898245	2.1599853590311
chr22	46088155	46088254	8733521	0	+	INTRON	INTRON	lncRNA	MIRLET7BHG	ENSG00000197182.17	336119	51	639	39	498	130	1810	32	205	0.0141585681097788	0.00048932145834794	3.4865349407956	1.85756021821093
chr22	46111650	46111749	8733760	0	+	EXON_LNCRNA	EXON_LNCRNA:INTRON	lncRNA	MIRLET7BHG	ENSG00000197182.17	336130	28	209	14	121	42	547	7	39	0.0141585681097788	0.000498712450602175	3.48144700822156	2.11042858640416
chr22	46086160	46086260	8733501	0	+	SS5_ADJ	SS5_ADJ:SS5_PROX:INTRON	lncRNA	MIRLET7BHG	ENSG00000197182.17	336119	51	639	52	467	130	1810	34	140	0.014516336998802	0.000536256435522756	3.46196020748931	2.1510728233613
chr22	46086260	46086360	8733502	0	+	SS5_PROX	SS5_PROX:INTRON	lncRNA	MIRLET7BHG	ENSG00000197182.17	336119	51	639	30	419	130	1810	25	145	0.014516336998802	0.000527114666554002	3.46658519117956	2.0028421144844
chr22	46074275	46074375	8733379	0	+	INTRON	INTRON	lncRNA	MIRLET7BHG	ENSG00000197182.17	336111	57	781	32	399	127	1742	21	108	0.0159099040031079	0.000601405305959405	3.43097983452995	2.05867036972239
chr22	46089251	46089351	8733532	0	+	INTRON	INTRON	lncRNA	MIRLET7BHG	ENSG00000197182.17	336119	51	639	36	353	130	1810	28	159	0.0159130903181722	0.000651829653238191	3.40907747392456	1.8077770619059
chr22	46078962	46079062	8733426	0	+	INTRON	INTRON	lncRNA	MIRLET7BHG	ENSG00000197182.17	336111	57	781	35	317	127	1742	21	110	0.0159130903181722	0.000659568717394802	3.40585635867761	1.91001318129241
chr22	46102101	46102200	8733662	0	+	INTRON	INTRON	lncRNA	MIRLET7BHG	ENSG00000197182.17	336123	15	201	42	357	47	578	33	172	0.0159130903181722	0.000668186049597117	3.40231078999315	1.82350509866592
chr22	46086759	46086859	8733507	0	+	INTRON	INTRON	lncRNA	MIRLET7BHG	ENSG00000197182.17	336119	51	639	53	341	130	1810	32	166	0.0159130903181722	0.000616261024963387	3.42435481729001	1.87466655501842
